tweet_id	publish_date	content	trump_mention
655880979890855936	10/18/2015 22:59	'@HighOffLyfe__ @shezumi @luvgoodspliff thats what you said to your parents?'	F
655883171280498688	10/18/2015 23:08	'@deray Doubts? DOUBTS? he is a MAD MAN. I have a permanent confidence that this man is EVIL'	F
656172016416919552	10/19/2015 18:16	Why dafuq he smiling? sick bastard #BlackLivesMatter #BLM #ACAB #FTP #JusticeOrElse https://t.co/ebWi6AEQuS	F
655912543655882753	10/19/2015 1:05	'- That phrase on the side of your vehicle, sir?  - Oh, Just a PR slogan. http://t.co/vkwceohVTW'	F
655913549911343104	10/19/2015 1:09	'@shezumi 50 shades of gay huh?'	F
655914684457967616	10/19/2015 1:13	'@deray swim good?'	F
655917963829116928	10/19/2015 1:26	Think №police can’t use illegally bbtained #Evidence against u? Think again. https://t.co/NOc0eiWIBI http://t.co/ytWY8fT0fE	F
656269872259661828	10/20/2015 0:45	I give a fuck about MY LIFE do you? https://t.co/zLgWJnHvBC	F
656271026192445440	10/20/2015 0:49	'@dxnitrv whats wrong about it?'	F
656273378215497729	10/20/2015 0:59	Will there ever be any #Justice 4 #POC in this country?!  I'm losing faith...  https://t.co/pkTz0jOJzY https://t.co/upUxm0agQz	F
656478249673854977	10/20/2015 14:33	'@OGJudy_ common sense is great but each of your fam w/common sense is boring no?'	F
656279323003908096	10/20/2015 1:22	Chicago Mayor blames viral #PoliceBrutality videos for rising murder numbers ...wait what? https://t.co/nV1AV3uq2C https://t.co/yOU8ov8MjC	F
656789610236768256	10/21/2015 11:10	'@4mysquad Cop shot 7 year old #Aiyana n the head as she slept he also killed the dog. No jail. Did he harm ppl 2? Was Animal cruelty called?'	F
656796440669229057	10/21/2015 11:37	Is that guy carrying a gun? #BlackLivesMatter #BlackTwitter #BlackPower #BlackPeopleTwitter https://t.co/2T7WpnKckl	F
656816472543531008	10/21/2015 12:57	'@ShaunKing lemme know how can we call him officer? It's total shame. Who to call when police murders'	F
656886049738657792	10/21/2015 17:33	Is Cleveland In a State of Ignorance? #BlackLivesMatter #TamirRice #BlackTwitter #blackpeopletwitter https://t.co/NcxQHSPJVV	F
656889578960261120	10/21/2015 17:47	Do you prefer miracle whip ? https://t.co/izorxs89ye	F
789834367422128128	10/22/2016 14:22	The fuck wrong with them? https://t.co/tCsCXNLo5M	F
790917361582936068	10/25/2016 14:06	Students from Steinert High School � this how y'all act? Someone find some  @'s https://t.co/9d4THYybBL	F
791604631914831872	10/27/2016 11:37	Then: Me: I want McDonald's  Mom: Do you have McDonald's money?  Now: Mom: I want grandkids  Me: Do you have grandkids money??	F
791606692941299713	10/27/2016 11:45	But who cares about facts, right? The cops FEEL there is a war being waged against them. https://t.co/dkG7FyKwph	F
791607471018303488	10/27/2016 11:48	Nigga is that Anne Hathaway? RT @woahaydrian: Dominicans are out of control lmaoo https://t.co/w2p7MM3fqb	F
792022424774729732	10/28/2016 15:17	Oh really? So how are the falsely convicted prisoners and their families going to be compensated? https://t.co/TdTsC5rPyh	F
792344432528031744	10/29/2016 12:36	Cop In Rekia Boyd case seeks severance for PTSD. Dante Servin could collect as much as $78,000 per year until his pension kicks in. Justice? https://t.co/9bSA6QtyHN	F
650658648729882625	10/4/2015 13:08	Why's blood here?We deserve more #BlackFam @menchithekid @foolishchicka @NewNatTurner @BlackjediNow @conscious_black http://t.co/AWDf5hV5xc	F
650659014104117249	10/4/2015 13:09	Can they end #policebrutality? #cops #BlackLivesMatter #BlackPeopleRules #BlackTwitter #acab #stopracism #racism http://t.co/jmHTt55t1B	F
650791638621552640	10/4/2015 21:56	What The FUCK!? http://t.co/cxF7wq57Tc	F
650593532655235072	10/4/2015 8:49	This young #black man was shot 3 times after pointing his hands like a gun  very interesting.are u f*ckin kiddin me?! http://t.co/5sKoX1BZc2	F
650597753567875072	10/4/2015 9:06	“What are you going to tell me next? You can’t breathe?” #cop said to #victim   fuckin bastard. i find and #kill you. http://t.co/07yZhuMzUc	F
651086891282903040	10/5/2015 17:29	'@tariqnasheed He's bastard. Did he kill 'em for religion? or wut?  or may be he didn't like their skin colour? anyway he's monster!'	F
651090434073071616	10/5/2015 17:43	Black girlz are the most beautiful  AGREE?????????  Retweet you are http://t.co/NwoG51F5t2	F
650968297207296004	10/5/2015 9:38	WTF?#Violence will continue until #MURDERERS in blue shirts are arrested and charged for the murder of citizens. #blc http://t.co/SYqe5Wn29P	F
651834819924508672	10/7/2015 19:01	'@menchithekid @AFRICAisMankind @ReverantRevan @BluntStatement @F_M_D_B @Xpressionable Hey, sup yall! sup, squad! Wyd? http://t.co/cgfiHouAsC'	F
651856661582249984	10/7/2015 20:28	TODAY IN OUR SCHOOLS #COPS ROUTINELY PEPPER-SPRAY KIDS DO YOU FEEL OK WITH THAT?! #CriminalizingChildhood #ACAB http://t.co/8dE23CwU9N	F
652092605015134208	10/8/2015 12:06	Why are you marching on 10/10/15? #PoliceBrutality #BlackLivesMatter #BlackTwitter #BlackPeopleRules #cops #acab http://t.co/dCdeEHCBhr	F
652104180342128640	10/8/2015 12:52	Are you going to join the Justice Or Else march? Tell me in comments http://t.co/TGLqfrIxs4	F
652128576557457408	10/8/2015 14:29	Why this ISIS member look like #Drake? LMAOOOOO  #lol #funny #joke #humor #ornothumor #ornotjoke http://t.co/7udwt0RSb5	F
652259466721652736	10/8/2015 23:09	Hell Nah! Not only we suffer from them,but now r forced 2 pay 4 their protection in court?!  http://t.co/RSwz5xFFtz http://t.co/Gt3SOhyta8	F
652272164666642432	10/8/2015 23:59	#Cops be like: #FirstAmendment you say? Sorry, ran out of fucks 2 give   https://t.co/HzUgWKFBcH #1A #FilmCops #FTP http://t.co/Lbu8Wl3zK8	F
651949781762224128	10/8/2015 2:38	#NYPD Cop:‘You hate the police, right N***?' before he arrested #DiquanFedee on bogus charges  http://t.co/YnZoJyELes http://t.co/eHpEe5sDK6	F
652038168317947904	10/8/2015 8:29	What accounts for the #US #cop kill rate? Maybe it’s the #guns #PoliceBrutality #policeabuse #acab #BlackLivesMatter http://t.co/xwV7M6rqFI	F
652044130378514433	10/8/2015 8:53	There have been thousands of fatal #shootings by on-duty #police officers since 2005. 54 have been charged. wow where the trick is ?!  f*ck	F
652051231234502656	10/8/2015 9:21	Who Remembers Eleanor Bumpurs? A 66 year old #Blackwoman hot point blank range by #police with shotgun. #cops #acab http://t.co/x3yhlYWZcf	F
652052747823525888	10/8/2015 9:27	When will the violence cease? http://t.co/gjUjQ1PSV6	F
652449910554513408	10/9/2015 11:45	Why?? Why is the #cop doing this??  #PoliceBrutality http://t.co/DZe0JfvNam	F
652494527429652481	10/9/2015 14:43	'@christwords199 Is it to me?�����'	F
652507951035363328	10/9/2015 15:36	! @4mysquad @Solutioneer72 Funny & the #MSM doing their damndest to make cops look good, does anyone believe what #Cops or #MSM say anymore?	F
652408207168700416	10/9/2015 9:00	Are your eyes open now?  #Time #TimeMagazine #BlackLivesMatter #WalterScott #policemisconduct #BlackLivesMatter #acab http://t.co/297fS8xZ9W	F
652412848795074560	10/9/2015 9:18	CAN #CAMERAS PREVENT THE #POLICE FROM HARASSING POOR PEOPLE? #PoliceBrutality #policebelike #cops #acab #BlackTwitter http://t.co/LjIAI2cT5p	F
652413783021780992	10/9/2015 9:22	THE #POLICE CAN PROBE YOU IF THEY THINK YOU HAVE DRUGS Are you sure?! so one more occasion to kill #BlackPeople  #BLM http://t.co/RWs0MqJqYL	F
664543776027877376	11/11/2015 20:42	'@opalayo @BlakkHoodie_562 Cops are freaking insane. Someone needs to stop them. Why are there only racists in police?'	F
664932091629441024	11/12/2015 22:25	'@OaklandTimes Why are those racists so dumb? Don't they understand they can be sued for those photos? Their robes look hilarious btw #OpKKK'	F
664938551016951808	11/12/2015 22:51	'@CincyWhiteGuy @AnonCopWatch Cops are just retarded. Some of them are racists and the others are rapists. Are there any sane people? #OpKKK'	F
666432153568346112	11/17/2015 1:46	'@EngagedE Of course they're out of control. I have no idea how to stop the corruption. Fire every single white cop maybe?'	F
666711671898021892	11/17/2015 20:17	The fuck is actually wrong w/em? Why we paying the gang?  #Police #CrookedCops #4ms  https://t.co/BrZAKFNJDD	F
666712293657452544	11/17/2015 20:19	The fuck is actually wrong w/em? Why we paying the gang?  #Police #CrookedCops #4ms https://t.co/VUrNKQMc0H	F
667082282772144128	11/18/2015 20:49	#TSA is probably the weirdest government agency. The fuck we paying for? #TakingToyFrom5yo #NationalSecurity https://t.co/jhCnyE76MZ	F
666807267312947200	11/18/2015 2:36	Where the fuck is #Justice at?   https://t.co/LLYvzCcj6q	F
799618432949948416	11/18/2016 14:21	Michelle Obama has absolutely no desire to run for President. Can you blame her? �	F
799619260720889856	11/18/2016 14:24	Are you a woman of color who needs money for college or grad school? Here are 100 scholarships to choose from: https://t.co/tZ7OylfdZt	F
801475363289395200	11/23/2016 17:19	My friend @jk_rowling how are you? Thank you for the book, love you from #Aleppo. - Bana https://t.co/c84b4Zux0G	F
801477316710985728	11/23/2016 17:27	"AMERICA��IS��REALLY��GONNA��FRONT��AND��CELEBRATE��""THANKSGIVING""��LIKE��THEY��ARENT��TERRORIZING��NATIVE��AMERICANS��RIGHT��NOW?! #NoDAPL"	F
801477722287538176	11/23/2016 17:29	Social media diagnosed Kanye with mental illness. Since when ya'll doctors? That man might have bronchitis.	F
669291124264214529	11/24/2015 23:06	'@kidnoble @MoKaBes @Nettaaaaaaaa @shear_beauty  why media keep silence? Dat makes me sick!'	F
669291381710561280	11/24/2015 23:07	'@kidnoble @MoKaBes @Nettaaaaaaaa @shear_beauty  why media keeps silence? This make me sick!'	F
802183913523257344	11/25/2016 16:15	And they wonder why there is so much mistrust in police? https://t.co/mHz2Xdltaq	F
669979688266309632	11/26/2015 20:42	"'@samswey whatta? This makes me sick! ""Self-protection' ha! #policestate'"	F
669982048707186688	11/26/2015 20:52	'@realDonaldTrump @PrisonPlanet  why dont you apologize for being racist?'	F
669984670013083648	11/26/2015 21:02	'@BenCatrwright @realDonaldTrump @PrisonPlanet u kidding? What the 'all lives matter' really mean? It's just BS'	F
669990588482256896	11/26/2015 21:26	'@BenCatrwright @realDonaldTrump @PrisonPlanet Ya know what white privilege actually is?'	F
669992922734051329	11/26/2015 21:35	'@realDonaldTrump who the hell really supports you? Racists?'	F
670001272393752578	11/26/2015 22:08	'@cnnbrk wow! No Secret Service shooting?'	F
670008414622392325	11/26/2015 22:37	How many of you guys passed away  waiting for the food to be ready? #thanksgiving #ThanksgivingWithBlackFamilies https://t.co/MKlSdIY8qd	F
